	BookStackTest_1	BookStackTest_2	BookStackTest_3	BookStackTest_4	BookStackTest_5	BookStackTest_6	BookStackTest_7	BookStackTest_8	Frequency	BlockFrequency_5	Runs	LongestRunOfOnes	Rank	DiscreteFourierTransform	NonOverlappingTemplateMatchings_5	OverlappingTemplateMatchings_5	Universal	LinearComplexity_25	Serial_5_1	Serial_5_2	ApproximateEntropy_3071635911	CumulativeSums_1	CumulativeSums_1	RandomExcursions	RandomExcursionsVariant	
1_Kbits	0.017549	0.376759	0.511457	1	0.596628	0.601814	0.965911	0.465209	0.453255	0.75716	0.0183382	0.191433	0.69372	0.00590539	-1.847	-nan(ind)	-1	0.0704997	0.418642	0.995009	0.00468271	0.573148	0.857965	-1	-1	
2_Kbits	0.232774	0.802587	0.452251	0.609834	0.224445	0.5528	0.856117	0.605577	0.565613	0.65556	0.312814	0.597198	0.271552	0.570188	1	1	-1	0.920385	0.476087	0.374211	0.74415	0.1542	0.464861	-1	-1	
4_Kbits	0.826845	0.757048	0.696039	0.386476	0.643902	0.173684	0.542865	0.583882	0.731034	0.685005	0.951634	0.207298	0.683425	0.818546	1	1	-1	0.944476	0.0332889	0.129791	0.713654	0.831316	0.519702	-1	-1	
8_Kbits	0.595883	0.531971	0.388747	0.220671	0.140067	0.7203	0.341547	0.0528075	0.64262	0.323982	0.692563	0.591299	0.128891	0.231547	0.051	1	-1	0.802008	0.0423155	0.248177	0.0424706	0.654761	0.838133	-1	-1	
16_Kbits	0.228928	0.150914	0.47711	0.613431	0.161526	0.553063	0.0837404	0.201243	0.851269	0.496714	0.24769	0.973124	0.368276	0.796335	1	1	-1	0.962757	0.605262	0.493705	0.766359	0.658027	0.494112	-1	-1	
