	BookStackTest_1	BookStackTest_2	BookStackTest_3	BookStackTest_4	BookStackTest_5	BookStackTest_6	BookStackTest_7	BookStackTest_8	Frequency	BlockFrequency_5	Runs	LongestRunOfOnes	Rank	DiscreteFourierTransform	NonOverlappingTemplateMatchings_5	OverlappingTemplateMatchings_5	Universal	LinearComplexity_25	Serial_5_1	Serial_5_2	ApproximateEntropy_3071635911	CumulativeSums_1	CumulativeSums_1	RandomExcursions	RandomExcursionsVariant	
32_Kbits	0.27404	0.194674	0.782378	0.332251	0.280786	0.634316	0.214385	0.796253	0.842361	0.572624	0.37094	0.307573	0.137066	0.584037	1	1	-1	0.245487	0.065083	0.104383	0.459078	0.482196	0.654761	-1	-1	
64_Kbits	0.425524	0.536102	0.255652	0.956834	0.7239	0.321711	0.604673	0.337803	0.521766	0.277365	0.558993	0.458628	0.396996	0.228422	1	1	-1	0.409185	0.909275	0.636294	0.969151	0.629223	0.861198	-1	-1	
128_Kbits	0.359127	0.321106	0.951544	0.325929	0.670932	0.00561402	0.803303	0.722572	0.525238	0.821725	0.631584	0.895408	0.147048	0.185796	0.051	1	-1	0.0387336	0.845325	0.361095	0.373012	0.413379	0.87926	-1	-1	
